Code_A,Product_Name_A,Code_B,Product_Name_B,Frequency,Pair_Total_Revenue,Avg_Pair_Value
85099B,"JUMBO BAG RED RETROSPOT",85099F,"JUMBO BAG STRAWBERRY",321,50964.85,158.77
22386,"JUMBO BAG PINK POLKADOT",85099B,"JUMBO BAG RED RETROSPOT",425,49921.69,117.46
22423,"REGENCY CAKESTAND 3 TIER",22699,"ROSES REGENCY TEACUP AND SAUCER ",340,42328.70,124.50
21733,"RED HANGING HEART T-LIGHT HOLDER",85123A,"WHITE HANGING HEART T-LIGHT HOLDER",290,37839.40,130.48
22469,"HEART OF WICKER SMALL",22470,"HEART OF WICKER LARGE",308,33174.17,107.71
22423,"REGENCY CAKESTAND 3 TIER",22697,"GREEN REGENCY TEACUP AND SAUCER",305,32596.90,106.88
22386,"JUMBO BAG PINK POLKADOT",85099F,"JUMBO BAG STRAWBERRY",224,32420.38,144.73
85099B,"JUMBO BAG RED RETROSPOT",85099C,"JUMBO  BAG BAROQUE BLACK WHITE",266,29701.99,111.66
23199,"JUMBO BAG APPLES",85099B,"JUMBO BAG RED RETROSPOT",263,29465.58,112.04
22470,"HEART OF WICKER LARGE",85123A,"WHITE HANGING HEART T-LIGHT HOLDER",211,29357.05,139.13
21931,"JUMBO STORAGE BAG SUKI",85099B,"JUMBO BAG RED RETROSPOT",323,28796.54,89.15
22726,"ALARM CLOCK BAKELIKE GREEN",22727,"ALARM CLOCK BAKELIKE RED ",430,28052.40,65.24
22423,"REGENCY CAKESTAND 3 TIER",22698,"PINK REGENCY TEACUP AND SAUCER",247,27736.55,112.29
22469,"HEART OF WICKER SMALL",85123A,"WHITE HANGING HEART T-LIGHT HOLDER",187,27297.16,145.97
22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",22910,"PAPER CHAIN KIT VINTAGE CHRISTMAS",331,27295.55,82.46
22697,"GREEN REGENCY TEACUP AND SAUCER",22699,"ROSES REGENCY TEACUP AND SAUCER ",457,26990.90,59.06
23203,"JUMBO BAG VINTAGE DOILY ",85099B,"JUMBO BAG RED RETROSPOT",357,26522.44,74.29
21929,"JUMBO BAG PINK VINTAGE PAISLEY",85099B,"JUMBO BAG RED RETROSPOT",231,26035.35,112.71
23173,"REGENCY TEAPOT ROSES ",23174,"REGENCY SUGAR BOWL GREEN",155,24570.40,158.52
21928,"JUMBO BAG SCANDINAVIAN PAISLEY",85099B,"JUMBO BAG RED RETROSPOT",238,24440.60,102.69
